"","gutenberg_id","title","author","genre","n","total","EAGn","FGn","FGratio","EAGratio","EAGnNew","FGnNew","FGratioNew","EAGratioNew"
"1","792","Wieland; Or, The Transformation: An American Tale","","FG","634",1906470,1489,197,0.00159506291592075,0.0120560846792183,1041,7557,0.39638703992195,0.0546035342806338
"2","8223","Edgar Huntly; or, Memoirs of a Sleep-Walker","","FG","646",2180354,1402,457,0.00288669270038164,0.00885589314208984,985,8385,0.384570578905994,0.0451761502948604
"3","8404","Jane Talbot","","EAG","774",1922340,1528,107,0.000692005717131345,0.00988210033436164,843,7547,0.392594442190247,0.043852804394644
"4","18508","Arthur Mervyn; Or, Memoirs of the Year 1793","","FG","1050",3446113,2597,264,0.000752985115366732,0.00740720585078562,1697,13335,0.386957711485375,0.0492438872433957
"5","36289","Ormond; Or, The Secret Witness","","FG","627",2193165,1399,177,0.000992631811830657,0.00784571697599485,926,8661,0.394908727797498,0.0422220854336085
"8","29866","Hidden Hand","","EAG","794",2065538,2271,474,0.00230482261277998,0.0110427260624965,1984,7439,0.360148300345963,0.0960524570354068
"9","932","The Fall of the House of Usher","","EAG","60",165784,162,34,0.00773275595422209,0.0368443077818817,99,608,0.366742267046277,0.0597162572986537
"10","2148","The Tell-Tale Heart","","EAG","55",52279,122,17,0.0182417134334124,0.130911119933901,79,140,0.26779395168232,0.151112301306452
"11","2149","The Narrative of Arthur Gordon Pym of Nantucket","","FG","389",1618556,855,262,0.00258546644182977,0.00843730460978798,826,5699,0.352103974159683,0.0510331431226352
"12","23169","The Diamond Lens","","EAG","74",213877,177,35,0.00570279632544392,0.0288398557029593,138,825,0.385735726609219,0.0645230669964512
"13","203","Uncle Tom's Cabin","","FG","1589",4216636,3412,485,0.000856140383580548,0.00602299172943676,3021,13052,0.309535848007748,0.0716447898277205
"14","2489","Moby Dick; Or, The Whale","","FG","1534",4969380,3355,779,0.000998747911155284,0.00430141109361486,3141,14295,0.287661639882641,0.0632070801588931
"15","34970","Pierre; or The Ambiguities","","EAG","1660",3579766,3199,582,0.00113313653360684,0.00622835699485961,2618,12698,0.354715922772606,0.073133271839556
"16","940","The Last of the Mohicans; A narrative of 1757","","FG","1149",3422837,1887,1474,0.00416161734114889,0.00532766073456442,2087,12372,0.361454547791788,0.0609728129034482
"17","6450","The Prairie","","FG","1117",3874281,2323,1084,0.00268135773665703,0.00574611994672904,2895,13438,0.346851454502139,0.0747235422520979
"18","851","Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson","","FG","193",465727,494,154,0.00987703096449207,0.03168346296402,338,1275,0.273765532167987,0.0725747057825722
"19","33","The Scarlet Letter","","FG","782",1956725,1723,416,0.00230651090325407,0.00955316895746816,1750,7216,0.368779465688842,0.0894351531257586
"20","77","The House of the Seven Gables","","FG","979",2459666,2530,365,0.0014340609352529,0.00994020319504062,2075,8593,0.34935637602829,0.0843610473942397
"21","508","Twice-Told Tales","","EAG","78",122912,132,21,0.00701721556886228,0.0441082121471343,98,471,0.383200989325696,0.0797318406664931
"22","512","Young Goodman Brown","","FG","81",122383,152,69,0.0199499804837147,0.04394778309456,119,462,0.377503411421521,0.0972357271843312
"23","9240","The Man of Adamant","","EAG","48",67528,61,50,0.0460269533839016,0.05615288312836,53,237,0.350965525411681,0.0784859613789835
"24","13707","Prophetic Pictures","","EAG","46",125166,109,28,0.00935484948715379,0.0364170926464201,85,435,0.347538468913283,0.0679098157646645
"25","2181","The Marble Faun; Or, The Romance of Monte Beni - Volume 1","","EAG","645",1453232,1099,287,0.00264086580647441,0.010112583697963,1006,4668,0.321215057196649,0.0692250101841963
"26","13970","Nick of the Woods; Or, Adventures of Prairie Life","","FG","1001",3099365,2209,983,0.00306500842331664,0.00688769441211236,1812,10533,0.339843806715246,0.0584635885092592
"27","41","The Legend of Sleepy Hollow","","FG","119",283843,303,92,0.0072376945425423,0.0238371896346774,200,970,0.341738214435445,0.0704614875124629
"28","2048","Rip Van Winkle","","EAG","46",155595,137,74,0.0223237853899875,0.0413291702490309,157,499,0.320704392814679,0.100902985314438
"29","15143","What Was It?","","EAG","52",122705,128,19,0.00614032252852018,0.0413663833500307,87,426,0.347174116784157,0.0709017562446518
