"","word","id"
"1","old",52
"2","little",52
"3","head",52
"4","house",52
"5","world",52
"6","men",52
"7","hand",52
"8","seen",52
"9","life",52
"10","day",52
"11","heart",52
"12","looked",52
"13","manner",52
"14","heard",52
"15","stood",52
"16","strange",52
"17","voice",52
"18","mind",52
"19","place",52
"20","saw",52
"21","dark",52
"22","stand",52
"23","light",52
"24","length",52
"25","turned",52
"26","black",52
"27","face",52
"28","dead",52
"29","side",52
"30","brought",52
"31","felt",52
"32","full",52
"33","gone",52
"34","wild",52
"35","days",52
"36","passed",52
"37","people",52
"38","hands",52
"39","came",52
"40","given",52
"41","took",52
"42","away",52
"43","gave",52
"44","night",52
"45","feel",52
"46","room",52
"47","close",52
"48","ground",52
"49","began",52
"50","door",52
"51","rest",52
"52","suddenly",52
